no,name,mmsi,region,type
10,KUALA PERLIS 3R,995331591,Wilayah Utara Tambahan,Buoy
11,KUALA PERLIS 4G,995331592,Wilayah Utara Tambahan,Buoy
12,KUALA PERLIS 4R,995331593,Wilayah Utara Tambahan,Buoy
13,KUALA PERLIS 5G,995331594,Wilayah Utara Tambahan,Buoy
14,KUALA PERLIS 5R,995331595,Wilayah Utara Tambahan,Buoy
15,KUALA KEDAH N0. 2R,995331596,Wilayah Utara Tambahan,Buoy
16,KUALA KEDAH 1G,995331441,Wilayah Utara Tambahan,Buoy
17,KUALA KEDAH 3G,995331598,Wilayah Utara Tambahan,Buoy
18,KUALA KEDAH 3R,995331599,Wilayah Utara Tambahan,Buoy
19,TELUK EWA NO.1R,995331581,Wilayah Utara Tambahan,Buoy
20,SELAT PENARAK,995331602,Wilayah Utara Tambahan,Buoy
21,BUMBON GREEN,995331603,Wilayah Utara Tambahan,Buoy
1,Deep Water Channel No.1,995331556,Wilayah Labuan Tambahan,Buoy
2,Deep Water Channel No.2,995331557,Wilayah Labuan Tambahan,Buoy
3,Deep Water Channel No.3,995331558,Wilayah Labuan Tambahan,Buoy
4,Deep Water Channel No.4,995331559,Wilayah Labuan Tambahan,Buoy
5,Deep Water Channel No.7,995331560,Wilayah Labuan Tambahan,Buoy
6,Deep Water Channel No.8,995331561,Wilayah Labuan Tambahan,Buoy
7,East Channel No.2R,995331562,Wilayah Labuan Tambahan,Buoy
8,East Channel No.4G,995331563,Wilayah Labuan Tambahan,Buoy
9,TELUK EWA NO.2R,995331600,Wilayah Utara Tambahan,Buoy
10,TELUK EWA NO.3R,995331601,Wilayah Utara Tambahan,Buoy
1,KUALA SELANGOR,995331150,Wilayah Tengah,Lighthouse
2,PULAU ANGSA,995331152,Wilayah Tengah,Lighthouse
3,ONE FATHOM BANK (OFB),995331151,Wilayah Tengah,Lighthouse
4,BUKIT JUGRA,995331153,Wilayah Tengah,Lighthouse
5,TANJUNG TUAN,995331154,Wilayah Tengah,Lighthouse
6,PULAU UNDAN,995331155,Wilayah Tengah,Lighthouse
7,BUKIT SEGENTING,995331156,Wilayah Selatan,Lighthouse
8,TANJUNG GELANG,995331162,Wilayah Timur,Lighthouse
9,FORT CORNWALLIS,995331163,Wilayah Utara,Lighthouse
10,PULAU RIMAU,995331164,Wilayah Utara,Lighthouse
11,MUKA HEAD,995331165,Wilayah Utara,Lighthouse
12,PULAU KURAMAN,995331166,Labuan,Lighthouse
